,idx,Q_num,word,corrected
0,7,65_Q17,someoen,someone
1,7,159_Q17,wss,was
2,8,174_Q17,9am,am
3,9,3_Q17,wale,walk
4,12,78_Q17,bollards,bollard
5,14,138_Q17,hsi,his
6,15,65_Q17,thr,the
7,15,127_Q17,fingee,finger
8,15,154_Q17,tshirt,shirt
9,17,1_Q17,thw,the
10,17,19_Q17,mouthes,mouths
11,17,26_Q17,vengence,vengeance
12,17,160_Q17,worktop,workshop
13,17,181_Q17,wasnt,want
14,21,95_Q17,fidgeted,fingered
15,22,41_Q17,finsihed,finished
16,22,75_Q17,movfe,move
17,22,77_Q17,adkins,atkins
18,22,79_Q17,happend,happened
19,22,96_Q17,opend,open
20,22,140_Q17,answerd,answer
21,22,142_Q17,radie,radio
22,22,143_Q17,dorve,drove
23,22,188_Q17,morther,mother
24,22,215_Q17,happend,happened
25,25,21_Q17,loathesome,loathsome
26,25,61_Q17,cackled,tackled
27,25,159_Q17,frizzes,fries
28,27,171_Q17,togethet,together
29,28,140_Q17,boref,bored
30,29,112_Q17,didnt,didn't
31,29,200_Q17,,i
32,31,41_Q17,recieved,received
33,33,123_Q17,alongsode,alongside
34,37,105_Q17,tge,the
35,38,156_Q17,alot,lot
36,39,7_Q17,matcha,match
37,39,98_Q17,mantlepiece,mantelpiece
38,40,35_Q17,unsteadily,steadily
39,40,175_Q17,sorrowfully,sorrowful
40,41,26_Q17,reconcilliation,reconciliation
41,41,185_Q17,comtemplated,contemplated
42,44,43_Q17,agressively,aggressively
43,46,99_Q17,grimaced,grimace
44,46,119_Q17,belarus,bears
45,49,67_Q17,crum,drum
46,49,97_Q17,himdelf,himself
47,49,181_Q17,didnt,didn't
48,50,41_Q17,sexted,texted
49,50,50_Q17,didint,did'nt
50,50,54_Q17,comfortor,comforter
51,50,77_Q17,didint,did'nt
52,50,139_Q17,pretterier,prettier
53,50,210_Q17,stomache,stomach
54,51,123_Q17,tiredly,tired
55,52,27_Q17,barkley,barley
56,52,79_Q17,hapened,happened
57,54,10_Q17,smitted,smitten
58,54,145_Q17,no-one,none
59,59,103_Q17,f,i
60,60,101_Q17,boundry,boundary
61,60,195_Q17,waitef,waited
62,61,156_Q17,gope,hope
63,62,148_Q17,you're,you've
64,63,152_Q17,wain,wait
65,64,204_Q17,belive,believe
66,65,74_Q17,waq,was
67,65,137_Q17,you're,you've
68,65,215_Q17,you're,you've
69,66,134_Q17,covid,couid
70,68,76_Q17,withoue,without
71,68,144_Q17,beti,bet
72,68,179_Q17,cantered,centered
73,69,50_Q17,lsughed,laughed
74,69,56_Q17,alot,lot
75,69,61_Q17,lisr,list
76,69,95_Q17,waitef,waited
77,69,147_Q17,knockef,knocked
78,69,180_Q17,spyed,speed
79,69,183_Q17,jsil,jail
80,69,190_Q17,csme,come
81,69,195_Q17,smilef,smile
82,70,61_Q17,didnt,didn't
83,70,106_Q17,shouldnt,shouldn't
84,70,141_Q17,didnt,didn't
85,71,20_Q17,ailes,miles
86,71,47_Q17,clamoured,glamoured
87,73,83_Q17,"had,",had
88,73,196_Q17,,i
89,74,8_Q17,,i
90,74,11_Q17,aaay,away
91,74,43_Q17,yester3,yester
92,74,56_Q17,alot,lot
93,74,61_Q17,noonan,noona
94,74,105_Q17,moan5,moans
95,74,208_Q17,aasy,easy
96,75,73_Q17,loadly,loudly
97,75,127_Q17,tounge,lounge
98,78,2_Q17,bisuciut,biscuit
99,78,94_Q17,appauled,appalled
100,78,127_Q17,cigerette,cigarette
101,78,138_Q17,sandwhices,sandwiches
102,78,145_Q17,no-one,none
103,78,187_Q17,interuped,interrupted
104,80,64_Q17,uped,used
105,80,174_Q17,9am,am
106,81,132_Q17,csr,car
107,81,134_Q17,covid,couid
